52924702,aaa,13,1136
52924702,aac,20,477
52925641,aab,31,907
52927350,aab,29,724
52927783,aac,21,638
52930489,aaa,18,1222
52931654,aaa,9,1077
52933453,aab,9,756
52934000,bbb,15,800
52934500,bbb,20,810
52935000,aaa,10,1190
52935500,aac,5,645
52936000,bbb,30,820
52936500,ccc,25,900
52937000,ccc,15,920
52937500,ccc,10,910
52938000,ddd,12,1000
52938500,ddd,18,1020
52939000,ddd,15,1010
52939500,eee,10,750
52940000,eee,20,760
52940500,eee,30,770
52941000,aaa,8,1150
52941500,aab,12,880
52942000,ccc,20,930
