52920014,sml,82,1054
52920018,whn,30,1959
52920019,knp,3,618
52920021,mhi,89,1130
52920023,knp,66,1185
52920024,nea,36,1790
52920032,cml,70,1317
52920050,xkj,51,993
52920072,qri,70,592
52920102,lyr,83,1629
52920104,duh,61,1452
52920129,nea,14,740
52920139,obm,3,1633
52920161,dtt,52,1191
52920171,roq,24,768
52920200,obm,49,1637
52920223,lab,13,1213
52920234,nea,79,915
52920246,onh,76,797
52920275,wru,59,1227
52920301,npc,44,1991
52920307,qcg,5,1426
52920318,roq,22,871
52920342,ftz,35,1959
52920358,oud,11,841
52920365,npc,25,1307
52920377,dkq,55,1696
52920399,bru,95,1908
52920415,agq,7,524
52920445,fwt,44,685
52920446,khh,34,1014
52920470,whn,12,1660
52920482,voy,75,1301
52920486,xkj,74,1261
52920504,xkj,16,1880
52920529,efo,62,1673
52920531,lyr,35,1779
52920532,tej,24,1486
52920546,fwt,68,1900
52920548,zsj,71,1400
52920560,wxt,93,948
52920587,muz,95,756
52920602,ttw,22,1744
52920613,bdp,42,974
52920634,dml,1,542
52920650,bip,7,1128
52920667,eoz,96,1268
52920697,yyn,63,1655
52920726,hzb,64,1331
52920735,hls,31,1167
52920762,nra,31,985
52920783,ico,87,1208
52920795,bdc,93,514
52920805,ndj,30,747
52920834,qri,11,1079
52920864,bdc,26,1494
52920867,ttw,56,617
52920877,gba,27,1550
52920887,kes,96,1478
52920892,vbr,19,1630
52920899,tej,35,1139
52920911,vpf,68,521
52920921,oud,39,1689
52920951,exs,90,1557
52920977,bdc,46,871
52921006,wnn,54,597
52921015,uoe,3,1121
52921017,ejo,2,809
52921035,ryo,88,1841
52921045,mfw,56,1973
52921058,lyr,88,1603
52921079,yyn,7,833
52921089,ssl,37,1209
52921103,roq,62,820
52921112,wrp,44,1182
52921130,bip,64,910
52921154,gba,65,1927
52921170,vkj,21,1365
52921196,ejo,19,957
52921219,ndj,22,636
52921235,kes,5,1931
52921255,oat,73,1630
52921267,bru,51,1634
52921277,eoz,26,1915
52921280,kes,72,1555
52921306,uhr,70,1629
52921314,vbr,21,1477
52921336,qcg,97,836
52921357,mfw,14,1370
52921366,tej,29,1573
52921381,fwt,35,1452
52921383,ttw,48,1829
52921411,mfw,50,1106
52921431,vgh,15,840
52921438,ico,95,1377
52921460,duh,20,911
52921465,ttw,81,1739
52921478,lab,38,1205
52921499,cwf,58,1189
52921510,wrp,44,1213
52921527,duh,3,970
52921538,rnb,80,1035
52921544,lab,9,628
52921574,yba,25,1289
52921603,hmb,8,1177
52921620,amn,98,820
52921626,wol,89,1536
52921640,ryo,44,1221
52921656,ejt,93,1197
52921675,ejo,33,1059
52921697,jww,88,1540
52921703,ola,71,1517
52921715,mhi,28,1554
52921728,dkq,41,1006
52921738,ndj,67,1957
52921746,vgh,30,685
52921776,ndj,46,586
52921805,vkj,43,1560
52921830,eoz,72,1621
52921852,uqf,89,759
52921871,amn,7,1586
52921897,vbr,56,1305
52921907,ryx,89,966
52921909,svj,100,1905
52921939,whn,36,1474
52921954,sml,74,752
52921961,vbr,35,1943
52921974,kry,67,1881
52921999,wxt,19,701
52922023,agq,45,1461
52922046,ico,20,588
52922059,pjv,52,903
52922069,uoe,35,787
52922081,vpf,85,1841
52922099,oud,53,1182
52922114,hmb,100,1255
52922119,bdp,1,1175
52922149,cml,39,1906
52922164,cml,36,1000
52922177,rnb,41,898
52922191,hzb,41,1874
52922207,mhi,23,1286
52922223,zsj,34,701
52922242,exs,27,1097
52922271,bip,76,821
52922284,lab,64,875
52922301,hzb,52,1880
52922327,wrp,99,1897
52922332,oat,54,1150
52922341,ttw,33,1910
52922368,ndj,19,1603
52922380,lab,90,1925
52922397,vkj,90,530
52922420,uhr,14,1715
52922436,knp,50,1773
52922455,vkj,16,1561
52922478,vkj,1,1647
52922493,ihn,4,704
52922523,dkq,5,1238
52922527,hls,10,1407
52922533,dml,29,1774
52922535,lyr,50,670
52922564,kes,87,1880
52922585,oly,70,947
52922606,vgh,15,933
52922614,bxn,29,933
52922636,ssl,71,1647
52922663,ryx,30,982
52922677,vgh,97,728
52922691,hzb,4,926
52922716,lyr,55,812
52922734,ejo,44,1237
52922736,ttw,50,1848
52922747,gba,36,1694
52922755,amn,94,1780
52922783,jww,74,722
52922784,bru,19,792
52922807,zsj,63,1906
52922826,bru,95,1204
52922856,ihn,83,1852
52922884,agq,96,1179
52922903,ssl,77,1794
52922911,muz,22,1100
52922939,qri,13,1143
52922952,rnb,30,1725
52922965,rjr,45,1009
52922970,vnb,31,876
52922976,ejo,36,1799
52922979,onh,48,900
52922990,cwf,100,1487
52923014,uoe,99,1498
52923016,kes,82,1470
52923032,bxn,64,662
52923034,wrp,10,1284
52923046,duh,4,850
52923072,ryo,74,1777
52923088,yyn,47,949
52923094,bdp,61,1172
52923124,agq,3,1785
52923132,cxa,7,969
52923152,knp,56,1669
52923161,lsn,25,1352
52923179,cml,53,1264
52923199,sml,58,1933
52923200,ola,81,716
52923207,xkj,43,692
52923230,ize,69,1890
52923248,efo,24,1916
52923263,amn,12,524
52923274,agq,43,1692
52923298,ryo,62,1425
52923328,ttw,12,782
52923353,oud,30,1607
52923366,oud,16,1698
52923368,bdp,6,854
52923394,ejo,91,1998
52923409,uhr,22,1709
52923424,ico,36,988
52923444,vnb,15,1105
52923448,hls,36,1508
52923457,qri,1,1508
52923472,eoz,34,542
52923485,cml,30,1632
52923508,ola,3,1920
52923538,yyn,92,1205
52923567,vww,70,778
52923568,nxm,49,1682
52923587,bru,56,1753
52923594,nea,81,973
52923615,mfw,28,1144
52923636,hls,96,1825
52923645,mhi,58,559
52923653,dkq,87,1595
52923667,efo,47,1534
52923677,qri,12,554
52923688,wrp,93,1626
52923716,vgh,74,502
52923742,ico,47,1951
52923752,hls,95,1126
52923781,wnn,29,1426
52923786,teu,44,948
52923797,edi,95,1731
52923821,kes,68,1811
52923847,duh,87,1309
52923870,ejt,22,1501
52923896,wru,65,1311
